Cartago;Paraiso;Orosi;5;10;5
Cartago;Paraiso;Paraiso;22;40;13
Cartago;Paraiso;Santiago;6;14;3
Cartago;Turrialba;Chirripó;4;2;
Cartago;Turrialba;La Isabel;6;5;3
Cartago;Turrialba;La Suiza;;10;4
Cartago;Turrialba;Pavones;1;2;
Cartago;Turrialba;Santa Cruz;3;3;1
Cartago;Turrialba;Santa Rosa;1;1;1
Cartago;Turrialba;Santa Teresita;3;3;
Cartago;Turrialba;Tayutic;1;2;
Cartago;Turrialba;Tres Equis;1;1;3
Cartago;Turrialba;Tuis;6;;
Cartago;Turrialba;Turrialba;15;28;15
Guanacaste;Abangares;Colorado;17;5;6
Guanacaste;Abangares;Juntas;18;15;9
Guanacaste;Abangares;Sierra;2;1;
Guanacaste;Bagaces;Bagaces;16;13;3
Guanacaste;Bagaces;Fortuna;1;;1
Guanacaste;Bagaces;Mogote;1;3;
Guanacaste;Bagaces;Río Naranjo;2;;2
Guanacaste;Cañas;Bebedero;1;4;
Guanacaste;Cañas;Cañas;15;29;17
Guanacaste;Cañas;Palmira;;1;
Guanacaste;Cañas;Porozal;;1;
Guanacaste;Cañas;San Miguel;1;1;2
Guanacaste;Carrillo;Belén;16;14;6
Guanacaste;Carrillo;Filadelfia;17;17;8
Guanacaste;Carrillo;Palmira;7;6;6
Guanacaste;Carrillo;Sardinal;16;18;14
Guanacaste;Hojancha;Hojancha;3;3;
Guanacaste;Hojancha;Monte Romo;2;;
Guanacaste;La Cruz;Garita;1;2;
Guanacaste;La Cruz;La Cruz;13;15;5
Guanacaste;La Cruz;Santa Cecilia;3;5;
Guanacaste;La Cruz;Santa Elena;1;2;
Guanacaste;Liberia;Cañas Dulces;6;1;2
Guanacaste;Liberia;Curubande;1;2;
Guanacaste;Liberia;Liberia;136;156;50
Guanacaste;Liberia;Mayorga;1;1;1
Guanacaste;Liberia;Nacascolo;;1;3
Guanacaste;Nandayure;Bejuco;;;2
Guanacaste;Nandayure;Carmona;2;1;2
Guanacaste;Nandayure;San Pablo;;1;1
Guanacaste;Nandayure;Santa Rita;;1;4
Guanacaste;Nicoya;Belén de Nosarita;3;1;
Guanacaste;Nicoya;Mansión;12;9;3
Guanacaste;Nicoya;Nicoya;43;40;15
Guanacaste;Nicoya;Nosara;8;8;5
Guanacaste;Nicoya;Quebrada Honda;3;2;2
Guanacaste;Nicoya;Sámara;2;8;2
Guanacaste;Nicoya;San Antonio;9;8;6
Guanacaste;Santa Cruz;Bolsón;4;3;4
Guanacaste;Santa Cruz;Cabo Velas;7;20;5
Guanacaste;Santa Cruz;Cartagena;11;5;2
Guanacaste;Santa Cruz;Cuajiniquil;2;5;2
Guanacaste;Santa Cruz;Diriá;2;11;4
Guanacaste;Santa Cruz;Santa Cruz;33;30;12
Guanacaste;Santa Cruz;Tamarindo;16;20;10
Guanacaste;Santa Cruz;Tempate;17;12;5
Guanacaste;Santa Cruz;Veintisiete de Abril;12;12;9
Guanacaste;Tilarán;Arenal;2;8;
Guanacaste;Tilarán;Libano;;2;
Guanacaste;Tilarán;Quebrada Grande;2;2;1
Guanacaste;Tilarán;Santa Rosa;;1;1
